"aluguel";"metragem";"ano";"aquecimento";"loc"
1257,7;85;1972;0;"Média"
1438,5;70;1987;0;"Alta"
910,5;85;1934;0;"Média"
342,8;62;1912;0;"Média"
454,6;62;1934;0;"Média"
463,2;51;1912;0;"Média"
1075,3;102;1957;0;"Alta"
1240,6;102;1957;0;"Alta"
1012;102;1957;0;"Alta"
695;63;1953;0;"Alta"
620;66;1957;0;"Alta"
534,2;100;1907;0;"Alta"
811,2;35;1969;0;"Alta"
823,3;43;1969;0;"Alta"
825,3;43;1969;0;"Alta"
693,7;74;1934;0;"Média"
1302,8;82;1934;0;"Média"
575,2;58;1934;1;"Média"
1221,1;100;1934;0;"Média"
1200;100;1938;0;"Alta"
420,6;38;1932;0;"Média"
347,1;37;1932;0;"Média"
592,7;63;1981;0;"Média"
513;72;1957;0;"Média"
1398,3;100;1972;0;"Alta"
1250;78;1972;0;"Média"
770;42;1972;0;"Média"
980;97;1957;0;"Média"
958;97;1957;0;"Média"
472;45;1934;0;"Média"
1206,6;75;1972;0;"Alta"
498,3;31;1985;0;"Alta"
1550;79;1972;0;"Alta"
233;45;1957;0;"Alta"
1347;95;1957;0;"Alta"
662,8;56;1934;1;"Alta"
1228,5;65;1981;0;"Alta"
1753,2;83;1957;0;"Alta"
1710;87;1957;0;"Alta"
1025,5;84;1934;0;"Alta"
950;62;1972;0;"Alta"
1650;100;1972;0;"Alta"
1570;95;1972;0;"Alta"
521,4;40;1957;0;"Média"
1350;85;1972;0;"Média"
597,2;34;1957;0;"Média"
580;72;1972;0;"Baixa"
682,1;38;1979;0;"Baixa"
297,4;54;1957;0;"Baixa"
508,1;97;1957;0;"Baixa"
2000;114;1985;0;"Alta"
1104;57;1934;0;"Alta"
1400;62;1909;0;"Alta"
1190;88;1934;0;"Alta"
1129;88;1934;0;"Alta"
1189,2;50;1934;0;"Alta"
1168,1;107;1957;0;"Alta"
628;48;1934;0;"Alta"
565;50;1934;0;"Baixa"
691;62;1934;0;"Baixa"
713;62;1934;0;"Baixa"
675,5;62;1972;1;"Alta"
651,4;62;1972;1;"Alta"
1698,2;120;1934;0;"Média"
1618;110;1957;0;"Média"
593,6;64;1934;0;"Alta"
356,7;84;1893;1;"Alta"
906;41;1928;0;"Alta"
555,1;38;1981;0;"Alta"
643,2;87;1957;0;"Alta"
638,6;90;1957;0;"Alta"
904,7;40;1972;0;"Alta"
982,5;69;1972;0;"Média"
684,1;42;1972;0;"Média"
904,7;69;1972;0;"Média"
1023,2;45;1965;0;"Média"
545,7;70;1957;0;"Média"
985,4;94;1957;0;"Média"
1245;98;1972;0;"Média"
1566;79;1972;0;"Média"
1030;71;1972;0;"Média"
764;79;1972;0;"Média"
549,5;53;1934;0;"Alta"
480,5;30;1934;0;"Alta"
1235;73;1962;0;"Média"
653;69;1957;0;"Média"
753,6;75;1957;0;"Média"
602,3;59;1957;0;"Média"
508,1;40;1957;0;"Média"
454;43;1957;0;"Média"
1263,8;72;1957;0;"Alta"
646;48;1957;0;"Média"
896;55;1957;0;"Média"
744,8;58;1957;0;"Média"
833,5;41;1985;0;"Média"
676,3;49;1950;1;"Média"
1009;69;1972;0;"Alta"
1353,8;70;1985;0;"Média"
487,6;70;1956;1;"Baixa"
470,5;75;1956;1;"Baixa"
1032,9;62;1981;0;"Média"
663,6;41;1981;0;"Média"
827,2;77;1972;0;"Média"
1148,3;65;1966;0;"Média"
1016,4;55;1972;0;"Média"
788,2;55;1972;0;"Média"
472,5;50;1934;0;"Média"
448,4;65;1934;1;"Baixa"
1232;67;1988;0;"Média"
1025,9;43;1985;0;"Média"
1424,9;67;1988;0;"Média"
1452;88;1970;0;"Média"
749,2;37;1972;0;"Média"
598,3;37;1970;0;"Média"
629,7;40;1981;1;"Baixa"
887,4;64;1972;0;"Média"
526,8;60;1957;1;"Média"
1065,6;38;1972;0;"Alta"
1130,8;85;1972;0;"Alta"
1176,5;84;1972;0;"Alta"
1129,4;70;1972;0;"Alta"
589,4;70;1972;0;"Alta"
701,4;70;1972;0;"Alta"
950;92;1972;0;"Alta"
936,5;91;1972;0;"Alta"
784,8;74;1972;0;"Alta"
633,6;87;1957;0;"Alta"
500,2;45;1957;0;"Alta"
167,2;100;1957;0;"Média"
354,5;100;1957;0;"Média"
246,5;71;1957;0;"Média"
294,2;81;1957;0;"Média"
1302;80;1962;0;"Alta"
711;75;1962;0;"Alta"
1573,9;79;1980;0;"Média"
515,2;45;1972;1;"Média"
540,8;72;1972;0;"Média"
482,9;72;1968;0;"Média"
560,7;80;1957;0;"Média"
382,1;64;1957;1;"Média"
552,6;72;1952;1;"Média"
1076,8;100;1972;1;"Média"
635,4;40;1957;0;"Média"
621,4;42;1963;0;"Média"
697,9;77;1957;0;"Média"
488,9;31;1957;0;"Média"
636;61;1957;0;"Média"
636;61;1957;0;"Média"
620,4;67;1957;0;"Média"
637;61;1957;0;"Média"
536,5;84;1910;1;"Média"
1132,1;92;1893;1;"Média"
814,1;54;1985;0;"Média"
534;92;1957;0;"Média"
217,3;32;1972;0;"Média"
633,9;39;1970;0;"Média"
960,9;54;1972;1;"Média"
494,9;80;1934;1;"Média"
677;57;1957;0;"Média"
1469,4;76;1957;0;"Alta"
908,5;86;1893;1;"Baixa"
941,9;80;1964;0;"Alta"
682;63;1972;0;"Alta"
722;63;1972;0;"Alta"
984;82;1972;0;"Alta"
851,4;49;1965;0;"Média"
430,3;47;1893;1;"Média"
1064,8;60;1893;0;"Média"
1576;66;1981;0;"Média"
1432,6;99;1893;0;"Média"
816,7;64;1893;1;"Média"
809,1;73;1968;0;"Média"
876,9;73;1968;0;"Média"
485,3;32;1968;0;"Média"
549,6;32;1968;0;"Média"
940;73;1968;0;"Média"
989,2;46;1972;0;"Média"
984,2;46;1934;0;"Média"
1098,3;80;1981;0;"Média"
925;69;1981;0;"Média"
601,3;52;1972;0;"Média"
778,4;30;1985;0;"Média"
1287,5;74;1980;0;"Média"
1241,9;49;1957;0;"Alta"
865,9;30;1957;0;"Alta"
614,2;37;1972;0;"Alta"
491,3;35;1965;0;"Média"
604,5;35;1957;0;"Média"
442,3;41;1957;0;"Média"
795;39;1957;0;"Baixa"
930;48;1957;0;"Baixa"
1110;72;1957;0;"Alta"
1067,3;81;1958;0;"Alta"
896;109;1893;0;"Alta"
1175;75;1953;0;"Alta"
945,9;46;1953;0;"Alta"
554,2;72;1957;0;"Média"
1187,1;89;1972;0;"Média"
1226;90;1934;0;"Média"
603;35;1934;0;"Média"
206,8;54;1893;1;"Média"
589,2;48;1934;1;"Média"
528,5;59;1957;1;"Média"
1036,6;72;1972;0;"Média"
1048,3;68;1972;0;"Média"
956,2;52;1934;0;"Média"
669,3;51;1936;0;"Média"
251,3;57;1972;0;"Média"
400,6;57;1972;0;"Média"
275,2;57;1957;0;"Média"
722,6;78;1957;0;"Média"
102;52;1957;0;"Média"
258,5;87;1957;0;"Média"
670,2;30;1966;0;"Média"
1258,4;74;1972;0;"Alta"
1436,7;92;1972;0;"Média"
765,3;53;1972;0;"Média"
375,2;50;1957;0;"Média"
513,8;53;1957;1;"Média"
373,8;49;1957;1;"Média"
506,8;57;1961;0;"Média"
482,5;32;1974;0;"Alta"
800;65;1972;0;"Alta"
1091,6;65;1972;0;"Alta"
762,8;56;1934;0;"Média"
426,5;65;1902;1;"Média"
394,9;43;1902;1;"Média"
675,4;101;1908;0;"Média"
1092;80;1979;0;"Média"
746,3;68;1957;0;"Média"
909,5;79;1963;0;"Média"
939,4;78;1957;0;"Média"
480,7;30;1972;0;"Alta"
1151;88;1899;1;"Média"
846,6;58;1899;1;"Média"
921,2;56;1966;1;"Média"
606,3;54;1966;1;"Média"
471,1;56;1934;1;"Média"
382,6;47;1961;0;"Alta"
1026;92;1972;0;"Alta"
916,3;45;1981;0;"Alta"
1067,6;92;1981;0;"Alta"
331,4;45;1934;0;"Média"
361,4;44;1939;0;"Média"
922,6;72;1972;0;"Alta"
681;96;1893;1;"Baixa"
608,3;110;1893;1;"Baixa"
792;65;1957;0;"Média"
559;40;1957;0;"Média"
700;60;1957;0;"Média"
906,6;64;1957;0;"Média"
927,2;86;1972;0;"Média"
399;46;1957;1;"Média"
358,6;35;1957;1;"Média"
775;75;1957;1;"Média"
903,7;48;1957;0;"Média"
1213;78;1957;0;"Média"
1300;73;1985;0;"Média"
1400;76;1981;0;"Média"
928,5;57;1934;0;"Média"
730,9;55;1972;0;"Baixa"
710;53;1972;0;"Baixa"
733,5;39;1972;0;"Baixa"
733,9;38;1962;0;"Média"
740,9;72;1981;0;"Média"
739,2;65;1985;0;"Média"
434;43;1934;1;"Média"
427,3;40;1934;1;"Média"
374,5;56;1934;0;"Média"
523,5;56;1934;0;"Média"
381,8;56;1957;0;"Média"
363,9;56;1957;0;"Média"
825,9;48;1957;0;"Média"
715,9;78;1934;0;"Média"
778,8;73;1957;0;"Média"
640;82;1927;0;"Média"
1000;73;1927;0;"Média"
728,4;78;1927;0;"Média"
570;79;1934;0;"Média"
459,6;48;1957;1;"Média"
705;59;1934;1;"Média"
510;47;1934;1;"Média"
360,6;63;1957;1;"Média"
716,5;79;1957;0;"Média"
867,7;97;1957;0;"Média"
632,9;69;1957;0;"Média"
443,3;54;1893;1;"Média"
373,2;57;1893;1;"Média"
759,9;105;1893;1;"Média"
556,7;82;1986;0;"Média"
367,8;90;1893;1;"Média"
548,9;80;1893;1;"Média"
500,9;95;1893;1;"Média"
1073,6;110;1934;0;"Média"
940,3;85;1934;0;"Média"
1308,3;110;1934;0;"Média"
341,2;85;1893;0;"Média"
678,7;65;1957;0;"Média"
971,7;73;1957;0;"Média"
975,5;48;1962;0;"Média"
551,2;30;1934;0;"Média"
890,2;67;1959;0;"Média"
717,6;51;1934;0;"Média"
1365;102;1981;0;"Média"
1085,2;98;1980;0;"Média"
548,3;92;1934;0;"Média"
351,8;69;1938;1;"Média"
571,3;68;1934;0;"Média"
525;59;1938;0;"Média"
352,8;69;1934;1;"Média"
547,6;100;1893;0;"Média"
191,4;70;1893;0;"Média"
347,4;67;1960;1;"Média"
486,9;67;1960;1;"Média"
1664,3;108;1959;0;"Alta"
132,1;84;1893;1;"Média"
762,3;90;1893;0;"Alta"
1034;100;1934;0;"Alta"
675,5;100;1893;0;"Alta"
1915,7;115;1893;0;"Alta"
519,5;56;1934;1;"Alta"
460,5;56;1934;1;"Alta"
357,5;43;1934;1;"Alta"
375,1;37;1957;0;"Alta"
445,9;45;1957;0;"Alta"
520,2;54;1957;0;"Alta"
280,6;52;1957;0;"Alta"
851,3;84;1957;0;"Alta"
759,8;65;1957;1;"Alta"
456,7;78;1972;1;"Alta"
1256,3;50;1985;0;"Alta"
1644,2;71;1985;0;"Alta"
242,1;76;1893;0;"Alta"
254,4;57;1957;1;"Alta"
779,7;74;1934;0;"Alta"
683,4;68;1957;1;"Alta"
737,8;92;1893;1;"Alta"
1188,1;60;1934;1;"Alta"
1249,5;62;1957;1;"Alta"
194,1;42;1957;1;"Alta"
692,8;68;1893;1;"Alta"
676,7;48;1893;1;"Alta"
1300;69;1893;0;"Alta"
1681,3;117;1893;0;"Alta"
946,8;80;1893;1;"Alta"
705;70;1957;1;"Alta"
1116,1;80;1957;1;"Alta"
454,5;53;1957;0;"Alta"
293;63;1957;0;"Alta"
2270,9;80;1893;0;"Alta"
976,4;79;1893;0;"Alta"
1086,2;58;1893;0;"Alta"
1254,6;72;1893;0;"Alta"
888,7;47;1893;0;"Alta"
997,8;54;1893;0;"Alta"
319,8;46;1893;1;"Alta"
349,6;30;1893;1;"Alta"
1735,1;67;1987;0;"Alta"
1076,7;86;1934;0;"Alta"
540;70;1893;0;"Alta"
1294,3;95;1893;0;"Alta"
825,9;72;1957;0;"Alta"
190,3;62;1957;1;"Alta"
608,8;58;1957;0;"Alta"
199,6;60;1957;1;"Alta"
750;89;1934;0;"Alta"
681,9;97;1957;0;"Alta"
822,7;59;1934;0;"Alta"
1239,2;61;1957;0;"Alta"
1215,1;94;1957;0;"Alta"
1277;120;1957;1;"Alta"
619;89;1934;0;"Média"
598;78;1934;0;"Média"
420;74;1934;1;"Média"
1284,9;76;1934;1;"Média"
421,5;72;1957;0;"Média"
573,5;72;1957;0;"Média"
1254,8;83;1957;0;"Alta"
1007,7;70;1957;0;"Alta"
755,6;52;1957;0;"Alta"
1057,8;89;1972;0;"Média"
1102,7;55;1957;0;"Média"
934,6;79;1957;0;"Média"
1830,7;100;1972;0;"Média"
1503,7;85;1957;0;"Média"
1638,4;80;1957;0;"Alta"
570,9;30;1972;0;"Média"
719;32;1972;0;"Média"
375,8;63;1957;0;"Média"
845,3;64;1934;0;"Alta"
1202,1;60;1957;0;"Média"
1067,4;45;1957;0;"Média"
868,3;69;1957;0;"Média"
285,1;59;1957;1;"Média"
272,1;46;1957;1;"Média"
740,6;50;1957;1;"Média"
700,3;51;1957;1;"Média"
747,3;56;1957;0;"Média"
718,8;55;1934;1;"Média"
543,5;37;1934;1;"Média"
413;76;1893;1;"Média"
703,7;89;1934;0;"Alta"
813,8;50;1893;0;"Média"
617,1;69;1957;0;"Média"
1184,5;98;1934;0;"Baixa"
766,8;55;1957;1;"Baixa"
661,8;51;1972;0;"Média"
674,2;68;1972;0;"Média"
594,8;63;1972;0;"Média"
674,4;72;1972;0;"Média"
1267,3;96;1972;0;"Alta"
1069;95;1934;0;"Alta"
566,9;94;1934;0;"Alta"
723,5;70;1957;0;"Alta"
637,7;86;1957;0;"Alta"
329,3;34;1957;0;"Alta"
877,4;64;1988;0;"Alta"
1240,4;64;1988;0;"Alta"
964,6;80;1957;0;"Baixa"
950,3;48;1957;0;"Baixa"
420,5;40;1957;0;"Baixa"
589,4;36;1957;0;"Baixa"
406;119;1893;1;"Média"
467,8;118;1893;1;"Média"
437,5;60;1893;1;"Baixa"
716;82;1893;0;"Baixa"
388,1;78;1893;1;"Baixa"
366,2;35;1893;1;"Baixa"
461,1;68;1897;1;"Baixa"
886,3;75;1893;0;"Baixa"
564,1;56;1893;0;"Baixa"
556,6;35;1893;0;"Baixa"
555,4;40;1959;0;"Baixa"
541,1;30;1985;0;"Baixa"
541,1;30;1959;0;"Baixa"
670,3;64;1959;0;"Baixa"
413,9;94;1893;0;"Baixa"
784,2;49;1972;0;"Baixa"
543,1;56;1893;1;"Média"
528,7;50;1893;1;"Média"
619,7;108;1893;1;"Média"
283,8;90;1893;0;"Alta"
1093,6;70;1957;0;"Média"
680,3;67;1957;0;"Média"
1482,7;82;1893;1;"Média"
286,1;57;1893;1;"Média"
905,8;66;1893;0;"Média"
1239,8;64;1893;0;"Média"
467,6;30;1963;0;"Baixa"
600;34;1972;0;"Baixa"
924,7;46;1934;0;"Baixa"
715,2;50;1902;1;"Média"
698,7;45;1902;1;"Média"
833,7;45;1902;1;"Média"
475;54;1964;0;"Média"
609,3;45;1964;0;"Média"
1540;95;1972;0;"Média"
912;117;1934;0;"Alta"
851,9;100;1934;0;"Alta"
485,2;38;1934;0;"Alta"
768,9;49;1957;0;"Média"
553,9;88;1957;0;"Média"
226;65;1934;1;"Média"
423,2;47;1950;1;"Média"
1097,7;108;1934;1;"Alta"
1157,2;95;1941;0;"Alta"
380,8;64;1902;0;"Alta"
900;110;1927;1;"Alta"
595,1;60;1893;1;"Média"
521,9;108;1893;1;"Média"
537,9;65;1893;1;"Média"
1291,9;58;1988;0;"Média"
943,4;40;1988;0;"Média"
1410;78;1972;0;"Média"
1494,2;79;1972;0;"Média"
1144,9;75;1972;0;"Média"
1977,2;103;1957;0;"Média"
676,1;63;1934;0;"Média"
723,9;52;1934;0;"Média"
663,7;88;1957;0;"Média"
1486,6;84;1972;0;"Média"
737,5;40;1957;1;"Média"
1003,8;54;1957;0;"Média"
1216,1;60;1957;0;"Média"
692,7;66;1957;0;"Média"
597,5;64;1957;0;"Média"
996,4;54;1957;0;"Média"
1233,2;114;1934;0;"Alta"
627;55;1938;0;"Alta"
481,6;35;1938;0;"Alta"
480,3;37;1938;0;"Alta"
303,2;50;1957;0;"Alta"
1733,8;90;1893;0;"Alta"
922,8;80;1934;0;"Alta"
1785,1;90;1934;0;"Alta"
888;100;1893;1;"Alta"
728,8;80;1893;1;"Alta"
342,1;81;1934;0;"Média"
516;45;1893;0;"Média"
586,1;75;1957;1;"Média"
907,7;70;1893;1;"Média"
905,1;74;1893;0;"Média"
863,2;110;1934;1;"Média"
651,7;115;1893;1;"Média"
924,4;40;1893;0;"Média"
1508,1;86;1981;0;"Alta"
1586,4;110;1981;0;"Alta"
1325,1;97;1981;0;"Alta"
885,5;72;1934;0;"Média"
600,9;76;1893;1;"Média"
573,3;76;1893;1;"Média"
1466,8;70;1893;1;"Média"
943,1;80;1934;0;"Média"
1014,8;62;1957;0;"Média"
563,8;56;1957;0;"Média"
1437,7;60;1934;0;"Média"
1120,3;87;1957;0;"Média"
378,4;48;1893;1;"Média"
914,5;86;1957;1;"Média"
713,8;85;1934;1;"Média"
618;85;1934;1;"Média"
361,2;34;1934;1;"Média"
1100,7;62;1957;0;"Média"
539,4;60;1893;0;"Média"
266,3;73;1893;0;"Média"
933,1;67;1893;0;"Média"
759,1;68;1893;0;"Média"
894,7;63;1893;0;"Média"
515,7;62;1893;1;"Média"
670,3;62;1957;0;"Média"
697;64;1934;0;"Média"
959,4;70;1957;0;"Média"
1131,8;60;1934;1;"Média"
1733,7;78;1957;0;"Média"
2537,9;95;1957;0;"Média"
942;95;1957;0;"Média"
1668,7;90;1957;0;"Média"
757,5;33;1957;0;"Média"
755,9;30;1957;0;"Média"
441,4;39;1893;0;"Média"
184,8;44;1893;1;"Média"
456,2;80;1893;1;"Média"
763,3;85;1985;0;"Média"
1195,9;58;1972;0;"Média"
724,7;67;1972;0;"Média"
424;55;1893;1;"Média"
406,8;60;1893;1;"Média"
605,8;60;1893;1;"Média"
508,8;36;1893;0;"Alta"
794,2;71;1934;0;"Média"
720,2;71;1934;0;"Média"
1346,8;80;1957;0;"Alta"
1429;90;1957;0;"Alta"
576,5;35;1893;0;"Média"
771,3;81;1893;1;"Média"
1036,5;100;1893;0;"Média"
1009,8;87;1957;0;"Média"
867,2;80;1893;1;"Média"
487,5;120;1893;1;"Média"
381,3;120;1893;1;"Média"
563,6;110;1893;1;"Média"
921,3;83;1981;0;"Média"
400,3;95;1934;1;"Alta"
823,2;60;1894;1;"Alta"
977,2;105;1893;0;"Alta"
1050,1;70;1893;1;"Alta"
1227,2;105;1894;1;"Alta"
811,8;47;1893;1;"Alta"
365,1;58;1893;1;"Média"
649,5;69;1957;0;"Alta"
430;60;1972;0;"Média"
1567,6;100;1957;0;"Alta"
1117,5;49;1957;0;"Média"
764,3;63;1957;0;"Alta"
483,6;73;1934;0;"Média"
456;76;1962;1;"Alta"
238;44;1953;1;"Alta"
517,9;56;1958;1;"Média"
595,5;53;1934;1;"Média"
492,1;68;1971;0;"Média"
653;77;1972;0;"Média"
608;67;1972;0;"Média"
628;78;1972;0;"Média"
481;58;1972;0;"Média"
577;67;1972;0;"Média"
581;40;1972;0;"Média"
728;78;1972;0;"Média"
533,5;69;1967;0;"Média"
673;78;1967;0;"Média"
762;78;1972;0;"Média"
462,8;56;1969;0;"Média"
478,9;68;1957;0;"Média"
433,8;48;1969;0;"Média"
740,3;68;1969;0;"Média"
417,3;36;1972;0;"Média"
556,7;36;1972;0;"Média"
411;37;1972;0;"Média"
