carro	dono	item	nota
gol	21	Acabamento	5
gol	21	Posição de dirigir	6
gol	21	Instrumentos	8
gol	21	Interior	8
gol	21	Porta-malas	7
gol	21	Desempenho	7
gol	21	Motor	8
gol	21	Câmbio	8
gol	21	Freios	7
gol	21	Suspensão	6
gol	21	Consumo	9
gol	21	Estabilidade	7
gol	21	Custo-Benefício 	8
gol	21	Recomendação	9
gol	22	Estilo	9
gol	22	Acabamento	6
gol	22	Posição de dirigir	7
gol	22	Instrumentos	8
gol	22	Interior	7
gol	22	Porta-malas	8
gol	22	Desempenho	6
gol	22	Motor	9
gol	22	Câmbio	7
gol	22	Freios	8
gol	22	Suspensão	8
gol	22	Consumo	10
gol	22	Estabilidade	8
gol	22	Custo-Benefício 	8
gol	22	Recomendação	8
gol	23	Estilo	10
gol	23	Acabamento	3
gol	23	Posição de dirigir	5
gol	23	Instrumentos	7
gol	23	Interior	4
gol	23	Porta-malas	2
gol	23	Desempenho	7
gol	23	Motor	6
gol	23	Câmbio	5
gol	23	Freios	7
gol	23	Suspensão	5
gol	23	Consumo	7
gol	23	Estabilidade	8
gol	23	Custo-Benefício 	0
gol	23	Recomendação	6
gol	24	Estilo	7
gol	24	Acabamento	3
gol	24	Posição de dirigir	3
gol	24	Instrumentos	2
gol	24	Interior	6
gol	24	Porta-malas	5
gol	24	Desempenho	8
gol	24	Motor	6
gol	24	Câmbio	8
gol	24	Freios	3
gol	24	Suspensão	7
gol	24	Consumo	6
gol	24	Estabilidade	8
gol	24	Custo-Benefício 	6
gol	24	Recomendação	4
gol	25	Estilo	8
gol	25	Acabamento	6
gol	25	Posição de dirigir	9
gol	25	Instrumentos	10
gol	25	Interior	10
gol	25	Porta-malas	9
gol	25	Desempenho	8
gol	25	Motor	7
gol	25	Câmbio	9
gol	25	Freios	7
gol	25	Suspensão	8
gol	25	Consumo	6
gol	25	Estabilidade	9
gol	25	Custo-Benefício 	5
gol	25	Recomendação	6
gol	26	Estilo	10
gol	26	Acabamento	4
gol	26	Posição de dirigir	7
gol	26	Instrumentos	7
gol	26	Interior	7
gol	26	Porta-malas	8
gol	26	Desempenho	10
gol	26	Motor	10
gol	26	Câmbio	8
gol	26	Freios	8
gol	26	Suspensão	8
gol	26	Consumo	10
gol	26	Estabilidade	10
gol	26	Custo-Benefício 	9
gol	26	Recomendação	10
gol	27	Estilo	10
gol	27	Acabamento	9
gol	27	Posição de dirigir	9
gol	27	Instrumentos	9
gol	27	Interior	9
gol	27	Porta-malas	8
gol	27	Desempenho	10
gol	27	Motor	10
gol	27	Câmbio	9
gol	27	Freios	10
gol	27	Suspensão	10
gol	27	Consumo	10
gol	27	Estabilidade	10
gol	27	Custo-Benefício 	10
gol	27	Recomendação	10
gol	28	Estilo	10
gol	28	Acabamento	9
gol	28	Posição de dirigir	9
gol	28	Instrumentos	9
gol	28	Interior	9
gol	28	Porta-malas	8
gol	28	Desempenho	9
gol	28	Motor	9
gol	28	Câmbio	10
gol	28	Freios	9
gol	28	Suspensão	10
gol	28	Consumo	9
gol	28	Estabilidade	9
gol	28	Custo-Benefício 	7
gol	28	Recomendação	9
gol	29	Estilo	10
gol	29	Acabamento	1
gol	29	Posição de dirigir	6
gol	29	Instrumentos	4
gol	29	Interior	3
gol	29	Porta-malas	8
gol	29	Desempenho	7
gol	29	Motor	9
gol	29	Câmbio	9
gol	29	Freios	8
gol	29	Suspensão	8
gol	29	Consumo	5
gol	29	Estabilidade	9
gol	29	Custo-Benefício 	9
gol	29	Recomendação	4
gol	30	Estilo	8
gol	30	Acabamento	7
gol	30	Posição de dirigir	9
gol	30	Instrumentos	10
gol	30	Interior	8
gol	30	Porta-malas	6
gol	30	Desempenho	4
gol	30	Motor	6
gol	30	Câmbio	6
gol	30	Freios	0
gol	30	Suspensão	4
gol	30	Consumo	5
gol	30	Estabilidade	5
gol	30	Custo-Benefício 	8
gol	30	Recomendação	0
gol	31	Estilo	9
gol	31	Acabamento	9
gol	31	Posição de dirigir	9
gol	31	Instrumentos	9
gol	31	Interior	9
gol	31	Porta-malas	7
gol	31	Desempenho	0
gol	31	Motor	0
gol	31	Câmbio	9
gol	31	Freios	9
gol	31	Suspensão	9
gol	31	Consumo	3
gol	31	Estabilidade	7
gol	31	Custo-Benefício 	2
gol	31	Recomendação	1
gol	32	Estilo	9
gol	32	Acabamento	9
gol	32	Posição de dirigir	8
gol	32	Instrumentos	9
gol	32	Interior	9
gol	32	Porta-malas	9
gol	32	Desempenho	10
gol	32	Motor	9
gol	32	Câmbio	10
gol	32	Freios	9
gol	32	Suspensão	9
gol	32	Consumo	9
gol	32	Estabilidade	10
gol	32	Custo-Benefício 	10
gol	32	Recomendação	10
gol	33	Estilo	10
gol	33	Acabamento	10
gol	33	Posição de dirigir	10
gol	33	Instrumentos	10
gol	33	Interior	8
gol	33	Porta-malas	6
gol	33	Desempenho	8
gol	33	Motor	9
gol	33	Câmbio	10
gol	33	Freios	9
gol	33	Suspensão	9
gol	33	Consumo	9
gol	33	Estabilidade	10
gol	33	Custo-Benefício 	10
gol	33	Recomendação	10
gol	34	Estilo	10
gol	34	Acabamento	2
gol	34	Posição de dirigir	7
gol	34	Instrumentos	9
gol	34	Interior	8
gol	34	Porta-malas	6
gol	34	Desempenho	10
gol	34	Motor	9
gol	34	Câmbio	10
gol	34	Freios	10
gol	34	Suspensão	8
gol	34	Consumo	0
gol	34	Estabilidade	9
gol	34	Custo-Benefício 	4
gol	34	Recomendação	8
gol	35	Estilo	8
gol	35	Acabamento	5
gol	35	Posição de dirigir	6
gol	35	Instrumentos	8
gol	35	Interior	6
gol	35	Porta-malas	5
gol	35	Desempenho	5
gol	35	Motor	0
gol	35	Câmbio	7
gol	35	Freios	7
gol	35	Suspensão	6
gol	35	Consumo	9
gol	35	Estabilidade	7
gol	35	Custo-Benefício 	7
gol	35	Recomendação	3
gol	36	Estilo	10
gol	36	Acabamento	2
gol	36	Posição de dirigir	5
gol	36	Instrumentos	6
gol	36	Interior	4
gol	36	Porta-malas	2
gol	36	Desempenho	10
gol	36	Motor	9
gol	36	Câmbio	10
gol	36	Freios	7
gol	36	Suspensão	3
gol	36	Consumo	10
gol	36	Estabilidade	7
gol	36	Custo-Benefício 	7
gol	36	Recomendação	7
gol	37	Estilo	8
gol	37	Acabamento	7
gol	37	Posição de dirigir	8
gol	37	Instrumentos	8
gol	37	Interior	7
gol	37	Porta-malas	5
gol	37	Desempenho	9
gol	37	Motor	8
gol	37	Câmbio	9
gol	37	Freios	7
gol	37	Suspensão	7
gol	37	Consumo	7
gol	37	Estabilidade	9
gol	37	Custo-Benefício 	9
gol	37	Recomendação	9
gol	38	Estilo	10
gol	38	Acabamento	8
gol	38	Posição de dirigir	8
gol	38	Instrumentos	9
gol	38	Interior	8
gol	38	Porta-malas	6
gol	38	Desempenho	10
gol	38	Motor	10
gol	38	Câmbio	10
gol	38	Freios	9
gol	38	Suspensão	6
gol	38	Consumo	10
gol	38	Estabilidade	9
gol	38	Custo-Benefício 	9
gol	38	Recomendação	9
gol	39	Estilo	10
gol	39	Acabamento	8
gol	39	Posição de dirigir	8
gol	39	Instrumentos	9
gol	39	Interior	8
gol	39	Porta-malas	6
gol	39	Desempenho	8
gol	39	Motor	7
gol	39	Câmbio	8
gol	39	Freios	7
gol	39	Suspensão	7
gol	39	Consumo	9
gol	39	Estabilidade	9
gol	39	Custo-Benefício 	8
gol	39	Recomendação	8
gol	40	Estilo	7
gol	40	Acabamento	5
gol	40	Posição de dirigir	8
gol	40	Instrumentos	7
gol	40	Interior	7
gol	40	Porta-malas	7
gol	40	Desempenho	8
gol	40	Motor	8
gol	40	Câmbio	8
gol	40	Freios	7
gol	40	Suspensão	7
gol	40	Consumo	7
gol	40	Estabilidade	8
gol	40	Custo-Benefício 	7
gol	40	Recomendação	7
gol	41	Estilo	9
gol	41	Acabamento	5
gol	41	Posição de dirigir	7
gol	41	Instrumentos	7
gol	41	Interior	7
gol	41	Porta-malas	7
gol	41	Desempenho	9
gol	41	Motor	7
gol	41	Câmbio	7
gol	41	Freios	7
gol	41	Suspensão	6
gol	41	Consumo	7
gol	41	Estabilidade	7
gol	41	Custo-Benefício 	6
gol	41	Recomendação	7
gol	42	Estilo	9
gol	42	Acabamento	7
gol	42	Posição de dirigir	8
gol	42	Instrumentos	9
gol	42	Interior	8
gol	42	Porta-malas	7
gol	42	Desempenho	10
gol	42	Motor	9
gol	42	Câmbio	9
gol	42	Freios	8
gol	42	Suspensão	8
gol	42	Consumo	10
gol	42	Estabilidade	7
gol	42	Custo-Benefício 	9
gol	42	Recomendação	9
gol	43	Estilo	8
gol	43	Acabamento	6
gol	43	Posição de dirigir	8
gol	43	Instrumentos	7
gol	43	Interior	6
gol	43	Porta-malas	5
gol	43	Desempenho	8
gol	43	Motor	9
gol	43	Câmbio	9
gol	43	Freios	7
gol	43	Suspensão	5
gol	43	Consumo	8
gol	43	Estabilidade	7
gol	43	Custo-Benefício 	7
gol	43	Recomendação	7
gol	44	Estilo	9
gol	44	Acabamento	7
gol	44	Posição de dirigir	9
gol	44	Instrumentos	9
gol	44	Interior	8
gol	44	Porta-malas	8
gol	44	Desempenho	8
gol	44	Motor	6
gol	44	Câmbio	8
gol	44	Freios	8
gol	44	Suspensão	8
gol	44	Consumo	8
gol	44	Estabilidade	8
gol	44	Custo-Benefício 	7
gol	44	Recomendação	7
gol	45	Estilo	9
gol	45	Acabamento	9
gol	45	Posição de dirigir	10
gol	45	Instrumentos	9
gol	45	Interior	10
gol	45	Porta-malas	9
gol	45	Desempenho	10
gol	45	Motor	10
gol	45	Câmbio	10
gol	45	Freios	9
gol	45	Suspensão	9
gol	45	Consumo	10
gol	45	Estabilidade	10
gol	45	Custo-Benefício 	10
gol	45	Recomendação	10
gol	46	Estilo	7
gol	46	Acabamento	3
gol	46	Posição de dirigir	5
gol	46	Instrumentos	7
gol	46	Interior	7
gol	46	Porta-malas	2
gol	46	Desempenho	8
gol	46	Motor	4
gol	46	Câmbio	7
gol	46	Freios	3
gol	46	Suspensão	5
gol	46	Consumo	2
gol	46	Estabilidade	7
gol	46	Custo-Benefício 	7
gol	46	Recomendação	4
gol	47	Estilo	9
gol	47	Acabamento	7
gol	47	Posição de dirigir	9
gol	47	Instrumentos	10
gol	47	Interior	9
gol	47	Porta-malas	9
gol	47	Desempenho	10
gol	47	Motor	10
gol	47	Câmbio	10
gol	47	Freios	10
gol	47	Suspensão	10
gol	47	Consumo	10
gol	47	Estabilidade	10
gol	47	Custo-Benefício 	10
gol	47	Recomendação	10
gol	48	Estilo	7
gol	48	Acabamento	2
gol	48	Posição de dirigir	5
gol	48	Instrumentos	4
gol	48	Interior	5
gol	48	Porta-malas	3
gol	48	Desempenho	3
gol	48	Motor	5
gol	48	Câmbio	4
gol	48	Freios	7
gol	48	Suspensão	0
gol	48	Consumo	5
gol	48	Estabilidade	5
gol	48	Custo-Benefício 	0
gol	48	Recomendação	3
gol	49	Estilo	8
gol	49	Acabamento	0
gol	49	Posição de dirigir	9
gol	49	Instrumentos	8
gol	49	Interior	8
gol	49	Porta-malas	8
gol	49	Desempenho	7
gol	49	Motor	8
gol	49	Câmbio	8
gol	49	Freios	8
gol	49	Suspensão	7
gol	49	Consumo	7
gol	49	Estabilidade	7
gol	49	Custo-Benefício 	4
gol	49	Recomendação	5
gol	50	Estilo	5
gol	50	Acabamento	1
gol	50	Posição de dirigir	7
gol	50	Instrumentos	7
gol	50	Interior	1
gol	50	Porta-malas	5
gol	50	Desempenho	7
gol	50	Motor	7
gol	50	Câmbio	0
gol	50	Freios	6
gol	50	Suspensão	6
gol	50	Consumo	1
gol	50	Estabilidade	6
gol	50	Custo-Benefício 	1
gol	50	Recomendação	1
gol	51	Estilo	8
gol	51	Acabamento	4
gol	51	Posição de dirigir	7
gol	51	Instrumentos	7
gol	51	Interior	6
gol	51	Porta-malas	7
gol	51	Desempenho	1
gol	51	Motor	1
gol	51	Câmbio	7
gol	51	Freios	5
gol	51	Suspensão	0
gol	51	Consumo	0
gol	51	Estabilidade	1
gol	51	Custo-Benefício 	1
gol	51	Recomendação	2
gol	52	Estilo	7
gol	52	Acabamento	5
gol	52	Posição de dirigir	6
gol	52	Instrumentos	8
gol	52	Interior	8
gol	52	Porta-malas	8
gol	52	Desempenho	9
gol	52	Motor	9
gol	52	Câmbio	8
gol	52	Freios	5
gol	52	Suspensão	5
gol	52	Consumo	6
gol	52	Estabilidade	7
gol	52	Custo-Benefício 	8
gol	52	Recomendação	9
gol	53	Estilo	9
gol	53	Acabamento	4
gol	53	Posição de dirigir	4
gol	53	Instrumentos	4
gol	53	Interior	4
gol	53	Porta-malas	4
gol	53	Desempenho	4
gol	53	Motor	5
gol	53	Câmbio	6
gol	53	Freios	7
gol	53	Suspensão	7
gol	53	Consumo	3
gol	53	Estabilidade	9
gol	53	Custo-Benefício 	5
gol	53	Recomendação	3
gol	54	Estilo	9
gol	54	Acabamento	6
gol	54	Posição de dirigir	9
gol	54	Instrumentos	9
gol	54	Interior	9
gol	54	Porta-malas	8
gol	54	Desempenho	10
gol	54	Motor	10
gol	54	Câmbio	10
gol	54	Freios	10
gol	54	Suspensão	7
gol	54	Consumo	9
gol	54	Estabilidade	9
gol	54	Custo-Benefício 	9
gol	54	Recomendação	10
gol	55	Estilo	10
gol	55	Acabamento	9
gol	55	Posição de dirigir	10
gol	55	Instrumentos	9
gol	55	Interior	10
gol	55	Porta-malas	10
gol	55	Desempenho	10
gol	55	Motor	10
gol	55	Câmbio	9
gol	55	Freios	9
gol	55	Suspensão	9
gol	55	Consumo	9
gol	55	Estabilidade	10
gol	55	Custo-Benefício 	10
gol	55	Recomendação	10
gol	56	Estilo	9
gol	56	Acabamento	4
gol	56	Posição de dirigir	9
gol	56	Instrumentos	6
gol	56	Interior	5
gol	56	Porta-malas	5
gol	56	Desempenho	10
gol	56	Motor	10
gol	56	Câmbio	10
gol	56	Freios	9
gol	56	Suspensão	7
gol	56	Consumo	8
gol	56	Estabilidade	10
gol	56	Custo-Benefício 	10
gol	56	Recomendação	9
gol	57	Estilo	10
gol	57	Acabamento	9
gol	57	Posição de dirigir	0
gol	57	Instrumentos	10
gol	57	Interior	8
gol	57	Porta-malas	8
gol	57	Desempenho	10
gol	57	Motor	10
gol	57	Câmbio	10
gol	57	Freios	10
gol	57	Suspensão	8
gol	57	Consumo	10
gol	57	Estabilidade	10
gol	57	Custo-Benefício 	10
gol	57	Recomendação	10
gol	58	Estilo	10
gol	58	Acabamento	9
gol	58	Posição de dirigir	9
gol	58	Instrumentos	10
gol	58	Interior	10
gol	58	Porta-malas	7
gol	58	Desempenho	9
gol	58	Motor	10
gol	58	Câmbio	10
gol	58	Freios	10
gol	58	Suspensão	10
gol	58	Consumo	10
gol	58	Estabilidade	10
gol	58	Custo-Benefício 	10
gol	58	Recomendação	10
gol	59	Estilo	10
gol	59	Acabamento	9
gol	59	Posição de dirigir	10
gol	59	Instrumentos	10
gol	59	Interior	9
gol	59	Porta-malas	7
gol	59	Desempenho	10
gol	59	Motor	10
gol	59	Câmbio	10
gol	59	Freios	10
gol	59	Suspensão	8
gol	59	Consumo	9
gol	59	Estabilidade	10
gol	59	Custo-Benefício 	6
gol	59	Recomendação	10
gol	60	Estilo	10
gol	60	Acabamento	7
gol	60	Posição de dirigir	7
gol	60	Instrumentos	5
gol	60	Interior	7
gol	60	Porta-malas	8
gol	60	Desempenho	9
gol	60	Motor	9
gol	60	Câmbio	8
gol	60	Freios	7
gol	60	Suspensão	7
gol	60	Consumo	7
gol	60	Estabilidade	9
gol	60	Custo-Benefício 	9
gol	60	Recomendação	10
gol	61	Estilo	8
gol	61	Acabamento	5
gol	61	Posição de dirigir	7
gol	61	Instrumentos	6
gol	61	Interior	6
gol	61	Porta-malas	4
gol	61	Desempenho	8
gol	61	Motor	6
gol	61	Câmbio	8
gol	61	Freios	3
gol	61	Suspensão	6
gol	61	Consumo	5
gol	61	Estabilidade	8
gol	61	Custo-Benefício 	5
gol	61	Recomendação	6
gol	62	Estilo	10
gol	62	Acabamento	6
gol	62	Posição de dirigir	9
gol	62	Instrumentos	10
gol	62	Interior	10
gol	62	Porta-malas	8
gol	62	Desempenho	9
gol	62	Motor	10
gol	62	Câmbio	10
gol	62	Freios	10
gol	62	Suspensão	10
gol	62	Consumo	9
gol	62	Estabilidade	10
gol	62	Custo-Benefício 	10
gol	62	Recomendação	9
gol	63	Estilo	7
gol	63	Acabamento	5
gol	63	Posição de dirigir	7
gol	63	Instrumentos	7
gol	63	Interior	5
gol	63	Porta-malas	3
gol	63	Desempenho	7
gol	63	Motor	7
gol	63	Câmbio	7
gol	63	Freios	7
gol	63	Suspensão	5
gol	63	Consumo	7
gol	63	Estabilidade	7
gol	63	Custo-Benefício 	5
gol	63	Recomendação	5
gol	64	Estilo	8
gol	64	Acabamento	6
gol	64	Posição de dirigir	7
gol	64	Instrumentos	10
gol	64	Interior	7
gol	64	Porta-malas	7
gol	64	Desempenho	2
gol	64	Motor	4
gol	64	Câmbio	7
gol	64	Freios	6
gol	64	Suspensão	7
gol	64	Consumo	5
gol	64	Estabilidade	6
gol	64	Custo-Benefício 	2
gol	64	Recomendação	1
gol	65	Estilo	9
gol	65	Acabamento	7
gol	65	Posição de dirigir	8
gol	65	Instrumentos	8
gol	65	Interior	7
gol	65	Porta-malas	8
gol	65	Desempenho	8
gol	65	Motor	9
gol	65	Câmbio	9
gol	65	Freios	8
gol	65	Suspensão	8
gol	65	Consumo	9
gol	65	Estabilidade	8
gol	65	Custo-Benefício 	9
gol	65	Recomendação	9
gol	66	Estilo	10
gol	66	Acabamento	8
gol	66	Posição de dirigir	5
gol	66	Instrumentos	10
gol	66	Interior	8
gol	66	Porta-malas	8
gol	66	Desempenho	10
gol	66	Motor	10
gol	66	Câmbio	10
gol	66	Freios	7
gol	66	Suspensão	7
gol	66	Consumo	10
gol	66	Estabilidade	10
gol	66	Custo-Benefício 	8
gol	66	Recomendação	10
gol	67	Estilo	9
gol	67	Acabamento	6
gol	67	Posição de dirigir	9
gol	67	Instrumentos	9
gol	67	Interior	7
gol	67	Porta-malas	5
gol	67	Desempenho	6
gol	67	Motor	7
gol	67	Câmbio	9
gol	67	Freios	7
gol	67	Suspensão	7
gol	67	Consumo	5
gol	67	Estabilidade	9
gol	67	Custo-Benefício 	8
gol	67	Recomendação	6
gol	68	Estilo	8
gol	68	Acabamento	5
gol	68	Posição de dirigir	7
gol	68	Instrumentos	9
gol	68	Interior	5
gol	68	Porta-malas	5
gol	68	Desempenho	5
gol	68	Motor	5
gol	68	Câmbio	7
gol	68	Freios	8
gol	68	Suspensão	6
gol	68	Consumo	4
gol	68	Estabilidade	9
gol	68	Custo-Benefício 	7
gol	68	Recomendação	5
gol	69	Estilo	9
gol	69	Acabamento	5
gol	69	Posição de dirigir	7
gol	69	Instrumentos	9
gol	69	Interior	7
gol	69	Porta-malas	8
gol	69	Desempenho	6
gol	69	Motor	7
gol	69	Câmbio	9
gol	69	Freios	9
gol	69	Suspensão	6
gol	69	Consumo	6
gol	69	Estabilidade	9
gol	69	Custo-Benefício 	3
gol	69	Recomendação	3
gol	70	Estilo	7
gol	70	Acabamento	4
gol	70	Posição de dirigir	3
gol	70	Instrumentos	7
gol	70	Interior	6
gol	70	Porta-malas	4
gol	70	Desempenho	8
gol	70	Motor	7
gol	70	Câmbio	7
gol	70	Freios	7
gol	70	Suspensão	5
gol	70	Consumo	8
gol	70	Estabilidade	8
gol	70	Custo-Benefício 	6
gol	70	Recomendação	2
gol	71	Estilo	8
gol	71	Acabamento	8
gol	71	Posição de dirigir	8
gol	71	Instrumentos	10
gol	71	Interior	7
gol	71	Porta-malas	7
gol	71	Desempenho	9
gol	71	Motor	9
gol	71	Câmbio	10
gol	71	Freios	8
gol	71	Suspensão	7
gol	71	Consumo	8
gol	71	Estabilidade	8
gol	71	Custo-Benefício 	8
